date,TWTR
2014-09-04,0.018447
2014-09-05,0.009156
2014-09-08,0.025640999999999997
2014-09-09,-0.026730999999999998
2014-09-10,0.045446
2014-09-11,-0.005103
2014-09-12,-0.010067999999999999
2014-09-15,-0.052389
2014-09-16,0.029363999999999998
2014-09-17,-0.0025580000000000004
2014-09-18,0.0035499999999999998
2014-09-19,0.041666999999999996
2014-09-22,-0.02
2014-09-23,0.0044280000000000005
2014-09-24,0.015143
2014-09-25,-0.028512
2014-09-26,0.008551999999999999
2014-09-29,-0.0028910000000000003
2014-09-30,-0.0030919999999999997
2014-10-01,-0.029469
2014-10-02,0.035757
2014-10-03,0.040309
2014-10-06,-0.008343
2014-10-07,0.0007480000000000001
2014-10-08,0.035307
2014-10-09,-0.002346
2014-10-10,-0.08844300000000001
2014-10-13,-0.037897
2014-10-14,0.0018559999999999998
2014-10-15,0.029024
2014-10-16,-0.035207
2014-10-17,0.011196
2014-10-20,0.039574
2014-10-21,-0.001381
2014-10-22,-0.030614
2014-10-23,0.012020999999999999
2014-10-24,0.005637
2014-10-27,-0.027828
2014-10-28,-0.09843500000000001
2014-10-29,-0.038831000000000004
2014-10-30,-0.006654
2014-10-31,-0.007895
2014-11-03,-0.030383
2014-11-04,0.017159999999999998
2014-11-05,-0.012958
2014-11-06,0.011642
2014-11-07,-0.012977
2014-11-10,-0.017862
2014-11-11,0.0
2014-11-12,0.074514
2014-11-13,-0.058768
2014-11-14,0.045205
2014-11-17,-0.032975
2014-11-18,0.003459
2014-11-19,-0.022162
2014-11-20,0.0025180000000000003
2014-11-21,0.005526
2014-11-24,0.003997
2014-11-25,-0.010699
2014-11-26,0.034457
2014-11-28,0.014831
2014-12-01,-0.06468600000000001
2014-12-02,-0.0033299999999999996
2014-12-03,0.003855
2014-12-04,-0.006912000000000001
2014-12-05,-0.0077339999999999996
2014-12-08,-0.057158
2014-12-09,0.020942
2014-12-10,-0.018893
2014-12-11,0.009629
2014-12-12,0.010899
2014-12-15,-0.006739
2014-12-16,-0.046676
2014-12-17,0.012525
2014-12-18,0.032612
2014-12-19,0.009529
2014-12-22,0.036408
2014-12-23,-0.022378
2014-12-24,0.001065
2014-12-26,-0.00026599999999999996
2014-12-29,-0.031383
2014-12-30,-0.015376
2014-12-31,0.000279
2015-01-02,0.019236
2015-01-05,-0.004923
2015-01-06,0.06542099999999999
2015-01-07,-0.038184
2015-01-08,0.048552
2015-01-09,0.027629
2015-01-12,-0.019915000000000002
2015-01-13,0.007112
2015-01-14,0.005044
2015-01-15,-0.07327499999999999
2015-01-16,0.01029
2015-01-20,0.0069689999999999995
2015-01-21,0.006920000000000001
2015-01-22,0.032778
2015-01-23,0.008958
2015-01-26,0.01725
2015-01-27,-0.029426
2015-01-28,-0.045478
2015-01-29,-0.012650999999999999
2015-01-30,0.023173
2015-02-02,-0.001865
2015-02-03,0.0622
2015-02-04,0.023372999999999998
2015-02-05,0.013261
2015-02-06,0.163597
2015-02-09,-0.014372000000000001
2015-02-10,-0.022401
2015-02-11,0.026805
2015-02-12,0.009474
2015-02-13,0.011470000000000001
2015-02-17,-0.009691
2015-02-18,-0.004372
2015-02-19,0.018402
2015-02-20,0.008419
2015-02-23,-0.013031999999999998
2015-02-24,0.0045390000000000005
2015-02-25,-0.002875
2015-02-26,0.017714
2015-02-27,-0.026918
2015-03-02,0.001456
2015-03-03,-0.009138
2015-03-04,-0.002934
2015-03-05,-0.004625000000000001
2015-03-06,-0.012672000000000001
2015-03-09,0.017967999999999998
2015-03-10,-0.036772
2015-03-11,0.00938
2015-03-12,0.01729
2015-03-13,-0.00871
2015-03-16,-0.004929
2015-03-17,0.010768999999999999
2015-03-18,0.005753
2015-03-19,0.015466
2015-03-20,0.010641000000000001
2015-03-23,0.000413
2015-03-24,0.062112999999999995
2015-03-25,-0.038275
2015-03-26,0.008485
2015-03-27,0.001803
2015-03-30,-0.0024
2015-03-31,0.003808
2015-04-01,0.007788000000000001
2015-04-02,-0.000991
2015-04-06,0.008329999999999999
2015-04-07,0.039929
2015-04-08,-0.010781
2015-04-09,-0.002486
2015-04-10,-0.004409
2015-04-13,-0.006161
2015-04-14,-0.008136
2015-04-15,0.001953
2015-04-16,0.01423
2015-04-17,-0.026331000000000004
2015-04-20,0.014607000000000002
2015-04-21,-0.0015559999999999999
2015-04-22,0.007989000000000001
2015-04-23,-0.0061860000000000005
2015-04-24,-0.011476
2015-04-27,0.016529000000000002
2015-04-28,-0.181765
2015-04-29,-0.089425
2015-04-30,0.012211000000000001
2015-05-01,-0.028746999999999998
2015-05-04,0.001057
2015-05-05,-0.012143999999999999
2015-05-06,-0.004275999999999999
2015-05-07,0.012077
2015-05-08,-0.003182
2015-05-11,-0.007449
2015-05-12,0.004556
2015-05-13,0.006403
2015-05-14,-0.010339000000000001
2015-05-15,-0.006161
2015-05-18,0.004852
2015-05-19,0.005901
2015-05-20,-0.0192
2015-05-21,-0.0027189999999999996
2015-05-22,-0.0021809999999999998
2015-05-26,-0.0024590000000000002
2015-05-27,-0.0027389999999999997
2015-05-28,0.011535
2015-05-29,-0.004344
2015-06-01,-0.001091
2015-06-02,-0.006279
2015-06-03,0.016484000000000002
2015-06-04,-0.007838000000000001
2015-06-05,0.0079
2015-06-08,-0.014595
2015-06-09,-0.015908
2015-06-10,-0.0008359999999999999
2015-06-11,-0.000279
2015-06-12,0.001674
2015-06-15,-0.034262
2015-06-16,0.004327
2015-06-17,-0.003733
2015-06-18,-0.0008649999999999999
2015-06-19,0.034622
2015-06-22,-0.008645
2015-06-23,-0.005063
2015-06-24,-0.005655
2015-06-25,0.0
2015-06-26,0.002559
2015-06-29,-0.029779
2015-06-30,0.058754999999999995
2015-07-01,-0.022639
2015-07-02,0.00904
2015-07-06,-0.008119
2015-07-07,0.00254
2015-07-08,-0.021396000000000002
2015-07-09,-0.011507
2015-07-10,0.016007
2015-07-13,0.024921000000000002
2015-07-14,0.026272000000000004
2015-07-15,-0.028866999999999997
2015-07-16,0.012339
2015-07-17,-0.011911
2015-07-20,0.0039250000000000005
2015-07-21,0.022899
2015-07-22,-0.014742
2015-07-23,0.002771
2015-07-24,-0.021277
2015-07-27,-0.020327
2015-07-28,0.053026
2015-07-29,-0.145047
2015-07-30,0.007362
2015-07-31,-0.014617
2015-08-03,-0.056111
2015-08-04,0.002392
2015-08-05,-0.029312
2015-08-06,-0.033006
2015-08-07,-0.018154999999999998
2015-08-10,0.090976
2015-08-11,0.004068
2015-08-12,-0.007764999999999999
2015-08-13,-0.028921000000000002
2015-08-14,0.01822
2015-08-17,0.0
2015-08-18,-0.026153
2015-08-19,-0.024382
2015-08-20,-0.058312
2015-08-21,-0.005
2015-08-24,-0.027058
2015-08-25,-0.031387
2015-08-26,0.026661
2015-08-27,0.057131
2015-08-28,0.013983
2015-08-31,0.035781
2015-09-01,-0.027347999999999997
2015-09-02,0.029227
